LISTA;empresa;caregoria;codigo;titulo; P.V.P  ACT. ; NUEVO P.V.P ; INCREMENTO ; % INCREMENTO ;; CONSE ; PRECIO NUEVO ;
LISTA;2;ELT;1851;RIGHT UP 11 SB. & WB.; 76.000,00 ; 80.600,00 ; 4.600,00 ; 0,06 ;#�REF!; 49,00 ; 84.900 ;
LISTA;2;ELT;1852;A & A MATHS 1; 55.000,00 ; 58.300,00 ; 3.300,00 ; 0,06 ;#�REF!; 50,00 ; 61.900 ;
LISTA;2;ELT;1853;A & A MATHS 2; 55.000,00 ; 58.300,00 ; 3.300,00 ; 0,06 ;#�REF!; 51,00 ; 61.900 ;
LISTA;2;ELT;1854;A & A MATHS 3; 55.000,00 ; 58.300,00 ; 3.300,00 ; 0,06 ;#�REF!; 52,00 ; 61.900 ;
LISTA;2;ELT;1855;A & A MATHS 4; 55.000,00 ; 58.300,00 ; 3.300,00 ; 0,06 ;#�REF!; 53,00 ; 61.900 ;
LISTA;2;ELT;1856;A & A MATHS 5; 55.000,00 ; 58.300,00 ; 3.300,00 ; 0,06 ;#�REF!; 54,00 ; 61.900 ;
LISTA;2;ELT;1857;A & A MATHS 6; 55.000,00 ; 58.300,00 ; 3.300,00 ; 0,06 ;#�REF!; 55,00 ; 61.900 ;
LISTA;2;ELT;1023W;WORKBOOK DREAM UP A EU; 58.000,00 ; 61.500,00 ; 3.500,00 ; 0,06 ;#�REF!; 1.267,00 ; 58.900 ;
LISTA;2;ELT;1024A;STUDENT?S BOOK DREAM UP B; 92.000,00 ; 97.500,00 ; 5.500,00 ; 0,06 ;#�REF!; 56,00 ; 104.900 ;
LISTA;2;ELT;1024W;WORKBOOK DREAM UP B EU; 58.000,00 ; 61.500,00 ; 3.500,00 ; 0,06 ;#�REF!; 1.268,00 ; 58.900 ;
LISTA;2;ELT;1025A;STUDENT?S BOOK DREAM UP C; 92.000,00 ; 97.500,00 ; 5.500,00 ; 0,06 ;#�REF!; 57,00 ; 104.900 ;
LISTA;2;ELT;1025W;WORKBOOK DREAM UP C; 58.000,00 ; 61.500,00 ; 3.500,00 ; 0,06 ;#�REF!; 1.269,00 ; 58.900 ;
LISTA;2;ELT;1753A;STUDENT?S BOOK DREAM UP 1 EU; 92.000,00 ; 97.500,00 ; 5.500,00 ; 0,06 ;#�REF!; 58,00 ; 104.900 ;
LISTA;2;ELT;1753W;WORKBOOK DREAM UP 1 EU; 58.000,00 ; 61.500,00 ; 3.500,00 ; 0,06 ;#�REF!; 1.270,00 ; 58.900 ;
LISTA;2;ELT;1754A;STUDENT?S BOOK DREAM UP 2 EU; 92.000,00 ; 97.500,00 ; 5.500,00 ; 0,06 ;#�REF!; 59,00 ; 104.900 ;
LISTA;2;ELT;1754W;WORKBOOK DREAM UP 2 EU; 58.000,00 ; 61.500,00 ; 3.500,00 ; 0,06 ;#�REF!; 1.271,00 ; 58.900 ;
LISTA;2;ELT;1755A;STUDENT?S BOOK DREAM UP 3 EU; 92.000,00 ; 97.500,00 ; 5.500,00 ; 0,06 ;#�REF!; 60,00 ; 104.900 ;
LISTA;2;ELT;1755W;WORKBOOK DREAM UP 3 EU; 58.000,00 ; 61.500,00 ; 3.500,00 ; 0,06 ;#�REF!; 1.272,00 ; 58.900 ;
LISTA;2;ELT;1756A;STUDENTS BOOK DREAM UP 4 EU; 92.000,00 ; 97.500,00 ; 5.500,00 ; 0,06 ;#�REF!; 61,00 ; 104.900 ;
LISTA;2;ELT;1756W;WORKBOOK DREAM UP 4 EU; 58.000,00 ; 61.500,00 ; 3.500,00 ; 0,06 ;#�REF!; 1.273,00 ; 58.900 ;
LISTA;2;ELT;1757A;STUDENTS BOOK DREAM UP 5 EU; 92.000,00 ; 97.500,00 ; 5.500,00 ; 0,06 ;#�REF!; 62,00 ; 104.900 ;
LISTA;2;ELT;1757W;WORKBOOK DREAM UP 5 EU; 58.000,00 ; 61.500,00 ; 3.500,00 ; 0,06 ;#�REF!; 1.274,00 ; 58.900 ;
LISTA;2;ELT;1777W;WORKBOOK PLAYHOUSE PALS A; 44.000,00 ; 46.600,00 ; 2.600,00 ; 0,06 ;#�REF!; 63,00 ; 46.900 ;
LISTA;2;ELT;1778W;WORKBOOK  PLAYHOUSE PALS B; 44.000,00 ; 46.600,00 ; 2.600,00 ; 0,06 ;#�REF!; 64,00 ; 46.900 ;
LISTA;2;ELT;1779W;WORKBOOK PLAYHOUSE PALS C; 44.000,00 ; 46.600,00 ; 2.600,00 ; 0,06 ;#�REF!; 65,00 ; 46.900 ;
LISTA;2;ELT;1781W;WORKBOOK  PLAYHOUSE 1; 44.000,00 ; 46.600,00 ; 2.600,00 ; 0,06 ;#�REF!; 66,00 ; 46.900 ;
LISTA;2;ELT;1782W;WORKBOOK  PLAYHOUSE 2; 44.000,00 ; 46.600,00 ; 2.600,00 ; 0,06 ;#�REF!; 67,00 ; 46.900 ;
LISTA;2;ELT;1783W;WORKBOOK  PLAYHOUSE 3; 44.000,00 ; 46.600,00 ; 2.600,00 ; 0,06 ;#�REF!; 68,00 ; 46.900 ;
LISTA;2;ELT;1784W;WORKBOOK  PLAYHOUSE 4; 44.000,00 ; 46.600,00 ; 2.600,00 ; 0,06 ;#�REF!; 69,00 ; 46.900 ;
LISTA;2;ELT;1785W;WORKBOOK  PLAYHOUSE 5; 44.000,00 ; 46.600,00 ; 2.600,00 ; 0,06 ;#�REF!; 70,00 ; 46.900 ;
LISTA;2;ELT;1786W;WORKBOOK TO THE MAX 1; 44.000,00 ; 46.600,00 ; 2.600,00 ; 0,06 ;#�REF!; 71,00 ; 46.900 ;
LISTA;2;ELT;1787W;WORKBOOK TO THE MAX 2; 44.000,00 ; 46.600,00 ; 2.600,00 ; 0,06 ;#�REF!; 72,00 ; 46.900 ;
LISTA;2;ELT;1788W;WORKBOOK TO THE MAX 3; 44.000,00 ; 46.600,00 ; 2.600,00 ; 0,06 ;#�REF!; 73,00 ; 46.900 ;
LISTA;2;ELT;1789W;WORKBOOK TO THE MAX 4; 44.000,00 ; 46.600,00 ; 2.600,00 ; 0,06 ;#�REF!; 74,00 ; 46.900 ;
LISTA;4;IGI;70101;HISTORIA DE AMOR Y ADOLESCENCIA; 32.000,00 ; 35.200,00 ; 3.200,00 ; 0,10 ;#�REF!; 736,00 ; 36.900 ;
LISTA;4;IGI;70102;UNA JOVEN A LA ANTUGUA; 32.000,00 ; 35.200,00 ; 3.200,00 ; 0,10 ;#�REF!; 737,00 ; 36.900 ;
LISTA;4;IGI;70103;MI QUERIDO ENEMIGO; 31.000,00 ; 34.100,00 ; 3.100,00 ; 0,10 ;#�REF!; 738,00 ; 35.900 ;
LISTA;4;IGI;70104;CUENTOS PARA ADOLESCENTES ROMANTICOS; 32.000,00 ; 35.200,00 ; 3.200,00 ; 0,10 ;#�REF!; 739,00 ; 36.900 ;
LISTA;4;IGI;70105;CUENTOS PARA TITIRAR DEL MIEDO; 32.000,00 ; 35.200,00 ; 3.200,00 ; 0,10 ;#�REF!; 740,00 ; 36.900 ;
LISTA;4;IGI;70106;CUENTOS TRANSVERSALES; 32.000,00 ; 35.200,00 ; 3.200,00 ; 0,10 ;#�REF!; 741,00 ; 36.900 ;
LISTA;4;IGI;70107;DELINCUENTE, EL VASO DE LECHE Y OTROS CUENTOS; 30.500,00 ; 33.600,00 ; 3.100,00 ; 0,10 ;#�REF!; 742,00 ; 35.900 ;
LISTA;4;IGI;70108;CORSARIO NEGRO -VER CODIGO 70130; 32.000,00 ; 35.200,00 ; 3.200,00 ; 0,10 ;#�REF!; 743,00 ; 36.900 ;
LISTA;4;IGI;70109;NO TOQUES A MI MADRE; 30.500,00 ; 33.600,00 ; 3.100,00 ; 0,10 ;#�REF!; 744,00 ; 35.900 ;
LISTA;4;IGI;70110;VIBRACIONES; 30.500,00 ; 33.600,00 ; 3.100,00 ; 0,10 ;#�REF!; 745,00 ; 35.900 ;
LISTA;4;IGI;70111;SIN RECREO; 30.500,00 ; 33.600,00 ; 3.100,00 ; 0,10 ;#�REF!; 746,00 ; 35.900 ;
LISTA;4;IGI;70112;TIEMPO DE CRECER; 30.500,00 ; 33.600,00 ; 3.100,00 ; 0,10 ;#�REF!; 747,00 ; 35.900 ;
LISTA;4;IGI;70113;EPOCA DE LA NEBLINA, LA; 30.500,00 ; 33.600,00 ; 3.100,00 ; 0,10 ;#�REF!; 748,00 ; 35.900 ;
LISTA;4;IGI;70114;MALA CONEXION; 30.500,00 ; 33.600,00 ; 3.100,00 ; 0,10 ;#�REF!; 749,00 ; 35.900 ;
LISTA;4;IGI;70115;AVENTURAS DE SHERLOCK HOLMES, LAS ZIG ZAG; 33.500,00 ; 36.900,00 ; 3.400,00 ; 0,10 ;#�REF!; 750,00 ; 38.900 ;
LISTA;4;IGI;70116;ROCKEROS CELESTES; 30.500,00 ; 33.600,00 ; 3.100,00 ; 0,10 ;#�REF!; 751,00 ; 35.900 ;
LISTA;4;IGI;70117;HIJO DE LADRON; 32.000,00 ; 35.200,00 ; 3.200,00 ; 0,10 ;#�REF!; 752,00 ; 36.900 ;
LISTA;4;IGI;70118;UN SECRETO EN MI COLEGIO; 30.500,00 ; 33.600,00 ; 3.100,00 ; 0,10 ;#�REF!; 753,00 ; 35.900 ;
LISTA;4;IGI;70119;PREGUNTALE A ALICIA; 30.500,00 ; 33.600,00 ; 3.100,00 ; 0,10 ;#�REF!; 754,00 ; 35.900 ;
LISTA;4;IGI;70120;SENOR DEL ABISMO, EL / ARKANUS; 70.600,00 ; 77.700,00 ; 7.100,00 ; 0,10 ;#�REF!; 755,00 ; 81.900 ;
LISTA;4;IGI;70121;PROFECIA DEL HEROE CAIDO, LA / ARKANUS; 70.600,00 ; 77.700,00 ; 7.100,00 ; 0,10 ;#�REF!; 756,00 ; 81.900 ;
LISTA;4;IGI;70122;ANIMERO DEL DESIERTO, EL; 39.000,00 ; 42.900,00 ; 3.900,00 ; 0,10 ;#�REF!; 757,00 ; 44.900 ;
LISTA;4;IGI;70123;CABO DE HORNOS; 32.000,00 ; 35.200,00 ; 3.200,00 ; 0,10 ;#�REF!; 758,00 ; 36.900 ;
LISTA;4;IGI;70124;CAMINO MAS LARGO, EL; 47.000,00 ; 51.700,00 ; 4.700,00 ; 0,10 ;#�REF!; 759,00 ; 54.900 ;
LISTA;4;IGI;70125;HIDALGOS DEL MAR; 32.000,00 ; 35.200,00 ; 3.200,00 ; 0,10 ;#�REF!; 760,00 ; 36.900 ;
LISTA;4;IGI;70127;A LA SOMBRA DEL TEREVAKA; 49.000,00 ; 53.900,00 ; 4.900,00 ; 0,10 ;#�REF!; 761,00 ; 56.900 ;
LISTA;4;IGI;70128;REGRESO DE KETZEL, EL / ARKANUS III; 47.000,00 ; 51.700,00 ; 4.700,00 ; 0,10 ;#�REF!; 762,00 ; 54.900 ;
LISTA;4;IGI;70129;CUERO DEL DIABLO; 30.500,00 ; 33.600,00 ; 3.100,00 ; 0,10 ;#�REF!; 763,00 ; 35.900 ;
LISTA;4;IGI;70130;CORSARIO NEGRO, EL      ZIG-ZAG; 32.000,00 ; 35.200,00 ; 3.200,00 ; 0,10 ;#�REF!; 764,00 ; 36.900 ;
LISTA;4;IGI;70131;LI SONG     MUJER CHINA; 32.000,00 ; 35.200,00 ; 3.200,00 ; 0,10 ;#�REF!; 765,00 ; 36.900 ;
LISTA;4;IGI;70132;CIUDAD DE LOS CESARES, LA; 30.500,00 ; 33.600,00 ; 3.100,00 ; 0,10 ;#�REF!; 766,00 ; 35.900 ;
